Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Customer_Age,Months_on_book,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Attrition_Flag
1,3,3,1,2,0,5,1,3,0.5,0.6046511627906976,0.3401899164694039,0.30870083432657924,0.3451163329759801,0.03527317236007567,0.248062015503876,0.061061061061061066,1
0,5,2,2,4,0,6,1,2,0.605263157894737,0.7209302325581396,0.20611167040029993,0.3432657926102503,0.21409324022831977,0.043451652386780906,0.17829457364341086,0.10510510510510511,1
1,3,2,1,3,0,4,1,0,0.6578947368421053,0.5348837209302325,0.05984998957001244,0.0,0.09894822240894736,0.07661065984199399,0.07751937984496124,0.0,1
0,4,3,0,4,0,3,4,1,0.368421052631579,0.4883720930232558,0.05667564552553534,1.0,0.02297684930316113,0.036775342160899074,0.07751937984496124,0.7607607607607608,1
1,3,5,1,2,0,5,1,0,0.368421052631579,0.18604651162790697,0.09909092832935787,0.0,0.1365572393011329,0.01702459107599866,0.13953488372093023,0.0,1
1,2,2,1,1,0,3,1,2,0.47368421052631593,0.5348837209302325,0.07774724361125473,0.4954310687326182,0.0799698664271434,0.032157560921330805,0.10852713178294573,0.31131131131131135,1
1,4,6,1,0,1,6,1,3,0.6578947368421053,0.7674418604651162,1.0000000000000002,0.8994835121176004,0.9344015298583143,0.04562145321019251,0.1627906976744186,0.06606606606606608,1
1,0,3,0,2,3,2,2,2,0.1578947368421053,0.32558139534883723,0.8356899058882571,0.5546285260230434,0.8020745805928201,0.057193724268387675,0.20155038759689922,0.048048048048048055,1
1,3,5,2,2,0,5,2,0,0.2894736842105263,0.5348837209302325,0.6322598004093393,1.0,0.5746240547040246,0.04673417158117281,0.10852713178294573,0.11311311311311313,1
1,2,2,2,3,0,6,3,3,0.5789473684210527,0.5348837209302325,0.3088999537452725,0.66626936829559,0.28905050270912414,0.051797040169133196,0.17054263565891473,0.14414414414414414,1
1,5,5,0,0,0,5,3,2,0.42105263157894735,0.41860465116279066,0.1605220435520003,0.5828367103694875,0.15292788224726914,0.03844441971736953,0.248062015503876,0.21721721721721723,1
1,1,0,2,3,0,3,6,0,0.7894736842105263,0.5348837209302325,0.3117719793093232,0.0,0.340393474922493,0.05724936018693669,0.05426356589147288,0.0,1
1,3,2,0,2,0,5,1,3,0.23684210526315796,0.39534883720930236,0.21490913818070786,0.6618990862137465,0.19928722510358415,0.04456437075776121,0.17829457364341086,0.1951951951951952,1
0,2,2,1,4,0,5,2,2,0.8157894736842106,0.813953488372093,0.03016231479214094,0.2701628923321414,0.050792455016950136,0.05897407366195616,0.14728682170542637,0.2792792792792793,1
1,4,6,0,3,0,5,1,2,0.47368421052631593,0.5581395348837209,0.08451917757280586,0.38617401668653156,0.09442818648045664,0.04662289974407477,0.1317829457364341,0.23023023023023026,1
1,4,4,2,3,0,6,2,3,0.5789473684210527,0.5348837209302325,0.8745680624710909,0.9384187524831148,0.8113464491640832,0.0645933014354067,0.1317829457364341,0.07807807807807808,1
1,3,6,1,3,0,4,4,1,0.3947368421052633,0.4883720930232558,0.3657055962173912,0.512912197059992,0.35467794744009506,0.028819405808389893,0.08527131782945738,0.0950950950950951,1
1,1,3,1,1,0,2,2,3,0.9210526315789473,1.0,0.05304782376041866,1.0,0.0194998985889375,0.045955268721486586,0.15503875968992248,0.7887887887887889,1
0,2,2,1,4,0,6,1,2,0.5,0.5581395348837209,0.39397237413725866,0.4596742153357171,0.3856517833859705,0.038778235228663624,0.08527131782945738,0.0800800800800801,1
1,1,1,0,2,0,5,2,0,0.5526315789473684,0.6744186046511628,0.5907514730467959,0.7151370679380215,0.5556167241329354,0.03716479359074218,0.1317829457364341,0.08608608608608609,1
0,0,2,1,4,0,2,3,3,0.9473684210526316,0.8372093023255814,0.0,0.0,0.041587228001043086,0.01012573717592077,0.046511627906976744,0.0,0
1,3,3,1,1,0,4,2,1,0.3947368421052633,0.4651162790697675,0.09165389371086866,0.2701628923321414,0.1097267696230406,0.023422721709135414,0.06201550387596899,0.15215215215215216,1
0,4,6,2,4,0,3,3,2,0.5526315789473684,0.5348837209302325,0.03185529828252872,0.6197854588796186,0.026917393445947905,0.034271725826193394,0.1007751937984496,0.6266266266266267,1
1,2,6,1,3,0,4,2,3,0.736842105263158,0.6744186046511628,0.325860020497193,0.0,0.35389563352939474,0.033381551129409145,0.08527131782945738,0.0,1
0,3,2,2,4,0,6,1,2,0.3947368421052633,0.34883720930232565,0.1913585285554921,0.6630909813269765,0.17662909628256018,0.030099031935017246,0.09302325581395349,0.21521521521521522,1
1,1,3,0,1,0,4,1,2,0.868421052631579,0.7674418604651162,0.4034651744226473,0.5458879618593564,0.38846231854663466,0.03822187604317348,0.1007751937984496,0.0930930930930931,1
1,1,6,1,2,0,3,3,2,0.9736842105263157,1.0,0.2653358607158297,0.40127135478744536,0.26662417060238175,0.07755647045732725,0.23255813953488372,0.09909909909909911,1
0,3,5,2,4,0,5,2,2,0.47368421052631593,0.4883720930232558,0.26185919819092623,0.0,0.29255642801263293,0.03015466785356626,0.06201550387596899,0.0,1
1,4,3,1,1,0,6,0,0,0.5526315789473684,0.6744186046511628,0.10117692584429996,0.5411203814064363,0.09909309535537335,0.029765216423723154,0.21705426356589144,0.2852852852852853,1
1,3,6,1,3,0,3,2,3,0.7105263157894737,0.4651162790697675,0.0397458106216575,0.7195073500198649,0.027207139338799872,0.02937576499388005,0.11627906976744187,0.6586586586586587,1
1,2,5,1,2,0,2,5,1,0.7105263157894737,0.813953488372093,0.030615792512780522,0.6714342471195868,0.021962738678179237,0.06042060754423055,0.12403100775193798,0.6906906906906907,1
1,4,2,1,2,0,4,1,2,0.3947368421052633,0.5348837209302325,0.22627631304474013,1.0,0.18552429519311564,0.060031156114387446,0.10852713178294573,0.2822822822822823,1
0,2,0,1,4,0,5,2,3,0.7105263157894737,0.5813953488372093,0.03663193027326569,0.591974572904251,0.033523599802972794,0.05012796261266274,0.13953488372093023,0.5625625625625627,1
1,0,2,1,3,0,6,2,2,0.8421052631578947,0.8372093023255814,0.33607838513560495,0.6738180373460468,0.3145481412800974,0.043451652386780906,0.10852713178294573,0.13513513513513514,1
0,1,0,2,4,0,4,2,1,0.763157894736842,0.5348837209302325,0.06293363807036162,0.7604290822407628,0.046446266624170604,0.04990541893846667,0.2558139534883721,0.5445445445445446,1
0,3,2,1,4,0,6,2,3,0.763157894736842,0.5348837209302325,0.04827119176968169,0.9129916567342073,0.02126734853533451,0.07605430065650384,0.20930232558139536,0.7577577577577578,1
0,4,3,1,4,1,2,3,3,0.42105263157894735,0.5348837209302325,0.42308564380232,0.0,0.44707791267058794,0.02536997885835095,0.09302325581395349,0.0,1
0,1,2,0,1,0,3,3,2,0.8157894736842106,0.8372093023255814,0.06752887897284274,0.3520063567739372,0.08063628198070293,0.05307666629576055,0.13953488372093023,0.24124124124124124,1
1,3,2,2,3,0,2,2,2,0.5,0.6511627906976745,0.9368154375908845,0.22963845848232023,0.9226957957870947,0.03332591521086013,0.13953488372093023,0.018018018018018018,1
1,2,6,1,1,0,4,1,0,0.6578947368421053,0.7209302325581396,0.14410615006484734,0.8756456098529996,0.11584040796221715,0.046567263825525756,0.13953488372093023,0.3553553553553554,1
0,1,0,2,1,3,3,2,3,0.631578947368421,0.6976744186046512,0.47964943149009753,1.0,0.42836032799235074,0.069322354512073,0.17829457364341086,0.14514514514514515,1
1,3,3,1,2,0,5,2,1,0.605263157894737,0.5581395348837209,0.07460313141482028,0.0,0.11308782198012343,0.069322354512073,0.17054263565891473,0.0,1
0,4,2,2,4,0,2,3,3,0.3157894736842106,0.34883720930232565,0.2536965992194137,0.8164481525625745,0.22519050792455017,0.02959830866807611,0.1007751937984496,0.2092092092092092,1
1,4,5,2,3,0,3,2,3,0.605263157894737,0.39534883720930236,1.0000000000000002,0.0,1.0,0.051963947924780235,0.13953488372093023,0.0,1
1,2,1,1,2,0,6,2,0,0.7894736842105263,0.744186046511628,0.025536842041617165,0.5681366706396503,0.02462840089241735,0.06848781573383776,0.1317829457364341,0.6266266266266267,1
1,1,1,1,1,0,3,2,2,0.868421052631579,0.9069767441860465,0.0335482817729165,0.8025427095748907,0.015211659374728364,0.06726382552575944,0.1317829457364341,0.7937937937937939,1
1,3,3,1,3,0,4,3,3,0.5263157894736843,0.627906976744186,0.544768832173942,0.5701231624950338,0.5221220989192479,0.03933459441415378,0.1317829457364341,0.07407407407407408,1
1,1,0,2,3,0,5,1,1,0.6842105263157894,0.627906976744186,0.09996765192259438,0.48748510131108463,0.10184568133746705,0.0350506286858796,0.23255813953488372,0.2592592592592593,1
0,3,6,1,4,0,6,3,2,0.6842105263157894,0.6511627906976745,0.03578543852807179,0.6154151767977751,0.031002810535160664,0.07610993657505286,0.15503875968992248,0.5915915915915916,1
0,1,2,1,4,0,2,3,1,0.736842105263158,0.627906976744186,0.0,0.3210170838299563,0.018175759858604004,0.010849004117057973,0.0697674418604651,0.5625625625625627,0
1,2,6,1,0,0,4,2,0,0.605263157894737,0.5348837209302325,0.5539895458269469,1.0,0.49960884304464986,0.05029487036830978,0.19379844961240308,0.12712712712712715,1
1,2,2,1,0,0,1,3,3,0.7894736842105263,0.5348837209302325,0.4332435447446467,0.0,0.45681337467041405,0.005118504506509403,0.03875968992248062,0.0,0
0,4,2,0,4,0,6,4,2,0.605263157894737,0.5348837209302325,0.05622216780489576,0.8740564163686929,0.03172717526729059,0.03015466785356626,0.17054263565891473,0.6676676676676677,1
0,3,2,2,4,0,2,2,0,0.605263157894737,0.5348837209302325,0.041227171175746806,0.9388160508541915,0.01263292092834584,0.04367419606097697,0.23255813953488372,0.8438438438438439,1
1,2,5,1,1,0,4,2,3,0.7894736842105263,0.8604651162790699,0.09129111153435701,0.7469209376241558,0.07460956740938197,0.050851229553799934,0.14728682170542637,0.42242242242242245,1
0,5,2,1,4,0,4,1,2,0.47368421052631593,0.5116279069767442,0.14616191573174678,0.38855780691299163,0.1533335264972619,0.04723489484811394,0.11627906976744187,0.15615615615615616,1
1,2,3,2,2,0,4,4,3,0.42105263157894735,0.4883720930232558,0.05737097803051603,0.6964640444974176,0.045779851070611076,0.036608434405252036,0.1317829457364341,0.5255255255255256,1
1,3,6,1,3,0,4,2,3,0.763157894736842,0.7906976744186046,0.060394162834779934,0.8009535160905841,0.04105699301712399,0.03265828418827195,0.17829457364341086,0.5875875875875876,1
1,2,2,1,2,3,2,4,4,0.5789473684210527,0.5116279069767442,1.0000000000000002,0.0,1.0,0.010070101257371757,0.03875968992248062,0.0,0
1,1,3,0,2,0,5,3,3,0.3421052631578947,0.4651162790697675,0.13567146446095105,0.4970202622169249,0.13536928114043983,0.044842550350506286,0.13953488372093023,0.21121121121121122,1
1,4,4,2,0,0,2,4,2,0.47368421052631593,0.4418604651162791,0.6807819165177749,0.8351211760031784,0.6331527250601223,0.042617113608545684,0.12403100775193798,0.08808808808808809,1
